u,v,key,osmid,ref,name,highway,maxspeed,oneway,length,org_geom,lanes,junction,bridge,access,service,geometry
539136289,539136290,0,43035772,,,service,,False,21.245,"LINESTRING (-0.9064834000000001 51.5453113, -0.9065399 51.5451235)",,,,,,"[(-0.9064834, 51.5453113), (-0.9065399, 51.5451235)]"
539136290,539136289,0,43035772,,,service,,False,21.245,"LINESTRING (-0.9065399 51.5451235, -0.9064834000000001 51.5453113)",,,,,,"[(-0.9065399, 51.5451235), (-0.9064834, 51.5453113)]"
539136290,539136277,0,566199242,,Swiss Farm,residential,,True,41.518,"LINESTRING (-0.9065399 51.5451235, -0.9066115 51.5451284, -0.9068368999999999 51.5451524, -0.9071264999999999 51.5452003)",,,,,,"[(-0.9065399, 51.5451235), (-0.9066115, 51.5451284), (-0.9068369, 51.5451524), (-0.9071265, 51.5452003)]"
539136301,539136302,0,566199237,,Swiss Farm,residential,,False,24.17,"LINESTRING (-0.9054782 51.5449764, -0.9055307 51.5447615)",,,,,,"[(-0.9054782, 51.5449764), (-0.9055307, 51.5447615)]"
539136301,539136326,0,43035780,,,footway,,False,60.14999999999999,"LINESTRING (-0.9054782 51.5449764, -0.9053614 51.5449925, -0.9052068 51.5449893, -0.9051576 51.5452248, -0.9051283 51.5453564)",,,,,,"[(-0.9054782, 51.5449764), (-0.9053614, 51.5449925), (-0.9052068, 51.5449893), (-0.9051576, 51.5452248), (-0.9051283, 51.5453564)]"
539136301,539136317,0,566199237,,Swiss Farm,residential,,False,38.684000000000005,"LINESTRING (-0.9054782 51.5449764, -0.9057243 51.5450159, -0.9058901 51.5450407, -0.9060245 51.5450464)",,,,,,"[(-0.9054782, 51.5449764), (-0.9057243, 51.5450159), (-0.9058901, 51.5450407), (-0.9060245, 51.5450464)]"
539136302,539136301,0,566199237,,Swiss Farm,residential,,False,24.17,"LINESTRING (-0.9055307 51.5447615, -0.9054782 51.5449764)",,,,,,"[(-0.9055307, 51.5447615), (-0.9054782, 51.5449764)]"
539136302,539136317,0,43035779,,,footway,,False,54.416000000000004,"LINESTRING (-0.9055307 51.5447615, -0.9056915 51.5448101, -0.9058651 51.5448681, -0.9060449 51.5449112, -0.9060245 51.5450464)",,,,,,"[(-0.9055307, 51.5447615), (-0.9056915, 51.5448101), (-0.9058651, 51.5448681), (-0.9060449, 51.5449112), (-0.9060245, 51.5450464)]"
539136302,539136305,0,566199237,,Swiss Farm,residential,,False,33.486999999999995,"LINESTRING (-0.9055307 51.5447615, -0.9055299999999999 51.544706, -0.9054203 51.5446748, -0.905165 51.5446123)",,,,,,"[(-0.9055307, 51.5447615), (-0.90553, 51.544706), (-0.9054203, 51.5446748), (-0.905165, 51.5446123)]"
539136305,539136302,0,566199237,,Swiss Farm,residential,,False,33.486999999999995,"LINESTRING (-0.905165 51.5446123, -0.9054203 51.5446748, -0.9055299999999999 51.544706, -0.9055307 51.5447615)",,,,,,"[(-0.905165, 51.5446123), (-0.9054203, 51.5446748), (-0.90553, 51.544706), (-0.9055307, 51.5447615)]"
