osmid,y,x,street_count,highway,geometry
287554740,51.5299199,-0.9041569,1,,POINT (-0.9041569 51.5299199)
287554741,51.5298772,-0.9040883,3,,POINT (-0.9040883 51.5298772)
287554743,51.529922,-0.9040161,1,,POINT (-0.9040161 51.529922)
287554745,51.5292678,-0.9037165,3,,POINT (-0.9037165 51.5292678)
287554746,51.5291529,-0.903713,1,,POINT (-0.903713 51.5291529)
287589794,51.5317056,-0.9015617,4,,POINT (-0.9015617 51.5317056)
287589795,51.5319952,-0.9018742,1,,POINT (-0.9018742 51.5319952)
287589811,51.531305,-0.901115,1,,POINT (-0.901115 51.531305)
287589813,51.5325208,-0.9017325,3,,POINT (-0.9017325 51.5325208)
287589814,51.5325794,-0.9015332,3,,POINT (-0.9015332 51.5325794)
287589826,51.5333981,-0.8997397,1,,POINT (-0.8997397 51.5333981)
287589829,51.533018,-0.9021011,3,,POINT (-0.9021011 51.533018)
287589834,51.5332277,-0.9005603,3,,POINT (-0.9005603 51.5332277)
287589835,51.5331275,-0.9019054,3,,POINT (-0.9019054 51.5331275)
287591826,51.5309806,-0.9001639,3,,POINT (-0.9001639 51.5309806)
287591830,51.5310765,-0.8991752,1,,POINT (-0.8991752 51.5310765)
287594621,51.5313059,-0.9005523,3,,POINT (-0.9005523 51.5313059)
287594623,51.5319863,-0.8989295,3,,POINT (-0.8989295 51.5319863)
287594625,51.5321131,-0.9001634,3,,POINT (-0.9001633999999999 51.5321131)
287594630,51.5316659,-0.8996376,4,,POINT (-0.8996376 51.5316659)
287594633,51.5314542,-0.8993844,1,,POINT (-0.8993844 51.5314542)
287594635,51.5324401,-0.8993801,3,,POINT (-0.8993801 51.5324401)
287594637,51.531779,-0.8986391,1,,POINT (-0.8986391 51.531779)
287628215,51.5297133,-0.9005991,3,,POINT (-0.9005991 51.5297133)
287628216,51.532408,-0.9016359,3,,POINT (-0.9016359 51.532408)
287628218,51.531475,-0.9037231,3,,POINT (-0.9037231 51.531475)
287628221,51.5311699,-0.902829,3,,POINT (-0.902829 51.5311699)
287628223,51.5305611,-0.9042707,4,,POINT (-0.9042707 51.5305611)
287628224,51.5312988,-0.9039946,3,,POINT (-0.9039946 51.5312988)
287628228,51.5292776,-0.9048714,3,,POINT (-0.9048714 51.5292776)
287692348,51.5353514,-0.9061307,3,,POINT (-0.9061307 51.5353514)
